a,b,x0,y0,phi,msec,iters
1.1,0.82,1,1.5,0,5.0037,72
1.1,0.93,-0.2,0.6,1.03673,5.0037,72
1.08729,1.86151,0.429006,0.952702,2.1401,5.0037,72
