a,b,x0,y0,phi,msec,iters
1.2,0.95,-1,-0.4,0.785398,4.8509,69
0.9,1,0.4,1,1.5708,4.8509,69
1.08269,2.22268,-0.316753,0.253998,2.3452,4.8509,69
