a,b,x0,y0,phi,msec,iters
0.85,1,-0.3,0.2,5.21504,5.3444,71
1.1,0.82,1,1.5,0,5.3444,71
1.06131,2.02705,0.409821,0.863334,2.27428,5.3444,71
