a,b,x0,y0,phi,msec,iters
1.1,0.9,-1,-1,1.5708,4.8191,60
1.2,0.95,-1,-0.4,0.785398,4.8191,60
1.08754,1.43711,-0.955864,-0.671381,0.27591,4.8191,60
