a,b,x0,y0,phi,msec,iters
1.1,0.93,-0.2,0.6,1.03673,6.6883,73
0.9,1,0.4,1,1.5708,6.6883,73
1.01556,1.41956,0.0707802,0.723386,2.1813,6.6883,73
