a,b,x0,y0,phi,msec,iters
0.85,1.15,0.2,-0.5,4.71239,5.798,75
1.2,0.95,-1,-0.4,0.785398,5.798,75
1.16489,1.80638,-0.477323,-0.47332,1.60701,5.798,75
